interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;120.00;2min_agg;3;1.94;0;3;-131361937;0;0;1.94;0;0.94;19.79;59.01;13.04;6.97;19.43;0.00
0.00;120.00;2min_agg;0;10.51;0;9;-343227268;0;0;5.26;9;2.51;9.83;88.43;7.64;63.91;9.10;38.00
0.00;120.00;2min_agg;0;117.33;0;3;-498573406#1;0;0;117.33;3;2.26;0.94;2.82;5.54;0.34;0.04;0.00
0.00;120.00;2min_agg;0;16.46;14;0;-607902629#1;0;0;16.46;11;8.10;26.71;329.88;6.44;224.68;25.69;93.00
0.00;120.00;2min_agg;0;3.16;4;0;-775228304;0;0;3.16;4;1.56;10.20;38.85;10.52;20.50;9.95;0.00
0.00;120.00;2min_agg;0;5.16;4;4;-775228305;0;0;5.16;7;2.49;6.08;43.60;12.39;21.04;5.79;0.00
0.00;120.00;2min_agg;0;22.51;41;0;107270959#6;28;28;7.50;36;3.73;14.84;546.31;13.97;264.90;14.63;0.00
0.00;120.00;2min_agg;0;48.36;0;36;107270959#7;4;4;16.12;20;7.98;37.12;1225.47;5.82;955.89;36.24;708.00
0.00;120.00;2min_agg;10;4.72;0;15;107270959#9;0;0;1.57;0;0.77;13.31;161.35;21.79;31.82;13.11;0.00
0.00;120.00;2min_agg;0;14.65;14;0;131361937;0;0;14.65;11;7.26;35.81;444.57;7.20;218.22;35.11;112.00
0.00;120.00;2min_agg;0;1.35;0;3;131361940#1;0;0;0.67;3;0.32;21.42;64.26;18.82;19.24;20.68;0.00
0.00;120.00;2min_agg;0;2.27;0;5;140621781#0;0;0;2.27;5;1.10;15.47;77.34;18.70;14.98;15.24;0.00
0.00;120.00;2min_agg;5;1.89;0;5;140621781#1;0;0;1.89;0;0.92;9.10;45.32;22.53;1.29;8.88;0.00
0.00;120.00;2min_agg;0;22.87;0;7;230894418#0;0;0;11.44;6;5.49;12.47;84.51;2.87;74.56;11.55;57.00
0.00;120.00;2min_agg;0;3.66;0;4;230894418#2;1;1;1.83;4;0.86;10.68;42.70;9.58;27.32;9.77;13.00
0.00;120.00;2min_agg;0;9.01;0;12;27318402#0;0;0;3.00;12;1.34;4.17;50.02;12.30;27.99;3.86;0.00
0.00;120.00;2min_agg;0;9.65;0;14;27318402#0.49;0;0;2.41;14;0.84;0.97;13.54;17.26;5.30;0.69;0.00
0.00;120.00;2min_agg;10;4.33;0;14;27318402#0.62;0;0;1.44;0;0.70;8.10;100.64;24.55;13.30;7.91;0.00
