interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_timeLoss,edge_traveltime,edge_waitingTime
480.00,600.00,2min_agg,0,3.05,0,7,140621781#0,0,0,3.05,6,1.48,15.71,104.08,18.41,20.35,15.47,0.00
480.00,600.00,2min_agg,6,2.31,0,6,140621781#1,0,0,2.31,0,1.13,9.30,55.46,22.04,1.73,9.07,0.00
480.00,600.00,2min_agg,0,21.13,0,7,230894418#0,0,0,10.57,10,4.92,10.01,78.09,3.58,65.42,9.19,35.00
480.00,600.00,2min_agg,0,13.32,0,8,230894418#2,1,1,6.66,10,3.17,19.16,155.46,5.34,121.83,17.64,76.00
480.00,600.00,2min_agg,0,17.41,0,23,27318402#0,0,0,5.80,24,2.60,4.10,96.67,12.52,53.42,3.79,0.00
480.00,600.00,2min_agg,0,15.33,0,25,27318402#0.49,0,0,3.83,24,1.34,0.90,21.53,18.65,7.16,0.64,0.00
480.00,600.00,2min_agg,24,8.25,0,24,27318402#0.62,0,0,2.75,0,1.34,7.92,191.93,25.10,19.21,7.74,0.00
480.00,600.00,2min_agg,0,7.00,0,9,27318402#5,9,9,2.33,8,0.89,1.82,14.71,12.40,8.15,1.46,0.00
480.00,600.00,2min_agg,0,3.57,0,8,27318402#6,0,0,1.19,7,0.53,2.50,17.72,18.56,5.93,2.26,0.00
480.00,600.00,2min_agg,0,2.30,0,7,27318402#7,0,0,1.15,7,0.56,9.63,67.43,25.85,4.94,9.45,0.00
480.00,600.00,2min_agg,7,2.38,0,7,27318402#8,0,0,1.19,0,0.54,1.93,13.46,27.05,0.41,1.74,0.00
480.00,600.00,2min_agg,0,19.39,27,0,29027962#0,25,25,6.46,27,3.17,20.14,533.23,11.63,312.19,19.35,39.00
480.00,600.00,2min_agg,0,5.08,0,13,29027962#1,2,2,1.69,14,0.82,8.43,112.95,22.59,25.26,8.25,0.00
480.00,600.00,2min_agg,0,4.41,0,14,29027962#2,1,1,1.47,13,0.67,1.98,26.80,28.08,0.74,1.80,0.00
480.00,600.00,2min_agg,0,4.50,0,13,29027962#3,0,0,1.50,13,0.71,3.77,48.98,25.42,5.75,3.52,0.00
480.00,600.00,2min_agg,0,30.97,0,13,29027962#4,3,3,10.32,9,5.06,17.09,211.37,3.62,184.78,16.24,132.00
480.00,600.00,2min_agg,20,7.05,0,16,29027962#6,3,3,2.35,0,1.16,19.69,391.75,23.79,54.88,19.51,0.00
480.00,600.00,2min_agg,0,9.45,17,0,331158296#0,9,9,3.15,19,1.56,16.43,290.46,15.90,119.09,16.17,0.00
480.00,600.00,2min_agg,0,56.43,0,19,331158296#0.267,4,4,18.81,15,9.26,24.70,441.33,2.84,394.47,23.90,283.00
480.00,600.00,2min_agg,0,39.92,0,15,331158296#1,5,5,13.31,27,6.47,35.16,627.90,3.87,521.84,33.98,255.00
480.00,600.00,2min_agg,0,7.27,0,13,331158296#2,3,3,2.42,13,1.12,4.15,53.98,16.10,21.55,3.89,0.00
480.00,600.00,2min_agg,0,5.19,0,12,331158296#2.100,5,5,1.30,12,0.57,1.89,22.74,21.90,4.08,1.68,0.00
480.00,600.00,2min_agg,0,19.55,0,12,331158296#2.118,2,2,4.89,10,2.33,12.48,139.59,5.17,106.93,11.40,46.00
480.00,600.00,2min_agg,0,31.95,0,44,331158298,0,0,10.65,44,4.87,5.65,248.46,12.36,134.58,5.36,0.00
480.00,600.00,2min_agg,0,44.61,0,44,331158298.105,13,13,14.87,51,7.15,13.39,592.76,8.64,393.61,12.66,153.00
480.00,600.00,2min_agg,0,6.82,0,8,331159362#1,0,0,2.27,8,0.89,1.95,15.59,12.34,8.56,1.59,0.00
480.00,600.00,2min_agg,0,6.02,0,8,331159362#2,0,0,2.01,8,0.65,0.82,6.58,17.15,2.46,0.54,0.00
480.00,600.00,2min_agg,7,2.48,0,8,331159362#3,0,0,1.24,0,0.60,8.88,62.43,24.19,6.63,8.69,0.00
480.00,600.00,2min_agg,0,5.81,0,13,331159363#1,5,5,1.45,13,0.70,7.30,94.91,19.32,30.75,7.10,0.00
480.00,600.00,2min_agg,0,4.04,0,13,331159364#0,1,1,1.35,13,0.65,6.03,77.41,27.31,3.14,5.85,0.00
480.00,600.00,2min_agg,0,6.14,0,16,331159364#1,0,0,3.07,16,1.44,3.56,56.98,23.11,9.98,3.37,0.00
480.00,600.00,2min_agg,19,5.62,0,16,331159364#2,1,1,1.87,0,0.93,18.72,338.49,27.06,13.74,18.54,0.00
480.00,600.00,2min_agg,0,87.10,0,44,331159364#2.1476,7,7,29.03,46,13.86,13.00,570.44,4.58,451.28,12.12,213.00
480.00,600.00,2min_agg,0,17.56,45,0,331159364#2.526,21,21,5.85,47,2.91,44.21,1990.11,21.48,429.56,43.84,0.00
480.00,600.00,2min_agg,0,6.85,0,9,331159366#1,1,1,2.28,9,0.68,0.68,5.89,17.88,0.58,0.40,0.00
480.00,600.00,2min_agg,0,27.87,0,29,331159366#2,2,2,9.29,31,3.94,3.28,101.22,10.75,52.64,2.78,0.00
480.00,600.00,2min_agg,0,28.29,0,20,331159366#3,1,1,9.43,20,2.04,0.65,13.04,13.56,4.14,0.29,0.00
480.00,600.00,2min_agg,0,53.05,0,66,331159366#4,24,24,17.68,64,7.95,5.34,343.31,11.03,183.97,4.84,0.00
480.00,600.00,2min_agg,0,61.15,0,36,331159366#5,4,4,20.38,36,7.03,1.90,67.88,7.51,42.20,1.10,9.00
480.00,600.00,2min_agg,0,62.03,0,63,331159366#6,23,23,20.68,67,9.04,4.51,292.10,9.82,158.43,3.87,6.00
480.00,600.00,2min_agg,0,49.94,0,24,331159366#7,0,0,16.65,24,2.66,0.58,13.12,12.40,6.90,0.20,1.00
480.00,600.00,2min_agg,0,21.26,0,33,331159366#8,22,22,7.09,31,3.22,5.17,158.79,13.00,70.55,4.66,0.00
480.00,600.00,2min_agg,8,19.01,44,8,331159372#0,20,20,9.51,42,4.74,48.39,2481.57,22.58,431.79,48.19,0.00
480.00,600.00,2min_agg,0,14.07,0,42,331159372#1,4,4,7.03,41,3.44,9.21,384.14,25.23,26.48,9.01,0.00
480.00,600.00,2min_agg,0,44.19,0,40,331159372#2,0,0,22.10,37,10.85,15.90,633.50,7.83,449.47,15.47,265.00
480.00,600.00,2min_agg,0,144.87,0,20,331159372#4,1,1,48.29,26,23.60,24.34,544.66,1.49,509.96,24.11,428.00
480.00,600.00,2min_agg,0,6.30,0,14,331159372#6,1,1,2.10,12,0.93,2.38,31.00,19.30,8.85,2.15,0.00
480.00,600.00,2min_agg,0,5.42,0,12,331159372#7,0,0,1.81,12,0.71,1.01,12.13,23.39,1.78,0.80,0.00
480.00,600.00,2min_agg,0,3.99,0,12,331159372#7.21,1,1,2.00,12,0.97,7.36,88.38,25.74,5.39,7.17,0.00
480.00,600.00,2min_agg,0,99.01,0,12,331159372#8,0,0,49.50,12,0.95,0.20,2.38,26.26,0.10,0.01,0.00
480.00,600.00,2min_agg,12,3.93,0,12,331159372#9,0,0,1.97,0,0.96,9.62,115.11,25.90,6.38,9.43,0.00
480.00,600.00,2min_agg,0,12.99,0,14,331159373#0,0,0,4.33,14,1.83,3.32,46.48,10.49,27.70,2.95,0.00
480.00,600.00,2min_agg,0,7.36,0,20,331159373#0.23,3,3,2.45,19,1.19,8.44,162.22,22.35,23.33,8.25,0.00
480.00,600.00,2min_agg,0,14.41,0,18,331159373#0.40,4,4,4.80,18,1.64,1.05,18.81,15.19,7.90,0.73,0.00
480.00,600.00,2min_agg,19,6.26,0,19,331159373#1,5,5,3.13,0,1.55,26.02,496.23,25.58,12.55,25.83,0.00
480.00,600.00,2min_agg,0,4.14,9,0,331159373#3,7,7,2.07,9,1.03,27.82,294.54,21.48,69.79,27.63,0.00
480.00,600.00,2min_agg,0,5.92,0,9,331159374,0,0,2.96,9,1.26,2.42,21.80,14.74,9.08,2.13,0.00
480.00,600.00,2min_agg,0,6.09,16,0,331162256#0,9,9,3.04,18,1.52,51.71,869.78,23.13,137.90,51.52,0.00
